Row ID,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order_Month,Order_Quarter,Order_Weekday,High_Sales
1,CA-2017-152156,2017-08-11,2,CG-12520,Claire Gute,0,United States,Henderson,Kentucky,42420.0,2,FUR-BO-10001798,0,4,Bush Somerset Collection Bookcase,261.96,8,3,4,1
2,CA-2017-152156,2017-08-11,2,CG-12520,Claire Gute,0,United States,Henderson,Kentucky,42420.0,2,FUR-CH-10000454,0,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,8,3,4,1
3,CA-2017-138688,2017-12-06,2,DV-13045,Darrin Van Huff,1,United States,Los Angeles,California,90036.0,3,OFF-LA-10000240,1,10,Self-Adhesive Address Labels for Typewriters by Universal,14.62,12,4,2,0
4,US-2016-108966,2016-11-10,3,SO-20335,Sean O'Donnell,0,United States,Fort Lauderdale,Florida,33311.0,2,FUR-TA-10000577,0,16,Bretford CR4500 Series Slim Rectangular Table,957.5775,11,4,3,1
5,US-2016-108966,2016-11-10,3,SO-20335,Sean O'Donnell,0,United States,Fort Lauderdale,Florida,33311.0,2,OFF-ST-10000760,1,14,Eldon Fold 'N Roll Cart System,22.368,11,4,3,0
6,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,FUR-FU-10001487,0,9,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,9,3,6,0
7,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-AR-10002833,1,2,Newell 322,7.28,9,3,6,0
8,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,TEC-PH-10002275,2,13,Mitel 5320 IP Phone VoIP phone,907.152,9,3,6,1
9,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-BI-10003910,1,3,DXL Angle-View Binders with Locking Rings by Samsill,18.504,9,3,6,0
10,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-AP-10002892,1,1,Belkin F5C206VTEL 6 Outlet Surge,114.9,9,3,6,1
11,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,FUR-TA-10001539,0,16,Chromcraft Rectangular Conference Tables,1706.184,9,3,6,1
12,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,TEC-PH-10002033,2,13,Konftel 250 Conference phone - Charcoal black,911.424,9,3,6,1
14,CA-2017-161389,2017-05-12,3,IM-15070,Irene Maddox,0,United States,Seattle,Washington,98103.0,3,OFF-BI-10003656,1,3,Fellowes PB200 Plastic Comb Binding Machine,407.976,5,2,4,1
17,CA-2015-105893,2015-11-11,3,PK-19075,Pete Kriz,0,United States,Madison,Wisconsin,53711.0,0,OFF-ST-10004186,1,14,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,11,4,2,1
22,CA-2017-137330,2017-09-12,3,KB-16585,Ken Black,1,United States,Fremont,Nebraska,68025.0,0,OFF-AR-10000246,1,2,Newell 318,19.46,9,3,1,0
23,CA-2017-137330,2017-09-12,3,KB-16585,Ken Black,1,United States,Fremont,Nebraska,68025.0,0,OFF-AP-10001492,1,1,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,9,3,1,1
36,CA-2017-117590,2017-08-12,0,GH-14485,Gene Hale,1,United States,Richardson,Texas,75080.0,0,TEC-PH-10004977,2,13,GE 30524EE4,1097.544,8,3,5,1
