Row ID,Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Order_Month,Order_Quarter,Order_Weekday,High_Sales
2,CA-2017-152156,2017-08-11,2,CG-12520,Claire Gute,0,United States,Henderson,Kentucky,42420.0,2,FUR-CH-10000454,0,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,8,3,4,1
4,US-2016-108966,2016-11-10,3,SO-20335,Sean O'Donnell,0,United States,Fort Lauderdale,Florida,33311.0,2,FUR-TA-10000577,0,16,Bretford CR4500 Series Slim Rectangular Table,957.5775,11,4,3,1
8,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,TEC-PH-10002275,2,13,Mitel 5320 IP Phone VoIP phone,907.152,9,3,6,1
11,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,FUR-TA-10001539,0,16,Chromcraft Rectangular Conference Tables,1706.184,9,3,6,1
12,CA-2015-115812,2015-09-06,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,TEC-PH-10002033,2,13,Konftel 250 Conference phone - Charcoal black,911.424,9,3,6,1
17,CA-2015-105893,2015-11-11,3,PK-19075,Pete Kriz,0,United States,Madison,Wisconsin,53711.0,0,OFF-ST-10004186,1,14,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,11,4,2,1
36,CA-2017-117590,2017-08-12,0,GH-14485,Gene Hale,1,United States,Richardson,Texas,75080.0,0,TEC-PH-10004977,2,13,GE 30524EE4,1097.544,8,3,5,1
55,CA-2017-105816,2017-11-12,3,JM-15265,Janet Molinari,1,United States,New York City,New York,10024.0,1,TEC-PH-10002447,2,13,AT&T CL83451 4-Handset Telephone,1029.95,11,4,6,1
68,CA-2015-106376,2015-05-12,3,BS-11590,Brendan Sweed,1,United States,Gilbert,Arizona,85234.0,3,OFF-AR-10002671,1,2,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,5,2,1,1
118,CA-2016-110457,2016-02-03,3,DK-13090,Dave Kipp,0,United States,Seattle,Washington,98103.0,3,FUR-TA-10001768,0,16,Hon Racetrack Conference Tables,787.53,2,1,2,1
146,CA-2016-110744,2016-07-09,3,HA-14920,Helen Andreada,0,United States,Pasadena,California,91104.0,3,OFF-ST-10003656,1,14,Safco Industrial Wire Shelving,671.93,7,3,5,1
150,CA-2017-114489,2017-05-12,3,JE-16165,Justin Ellison,1,United States,Franklin,Wisconsin,53132.0,0,FUR-CH-10000454,0,5,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,5,2,4,1
166,CA-2015-139892,2015-08-09,3,BM-11140,Becky Martin,0,United States,San Antonio,Texas,78207.0,0,TEC-MA-10000822,2,11,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,3,6,1
